time,longitude,latitude,EA1,SSH1,Radius1,U1,track1,c1,Year,Month,RNL1
2/11/2001,13,-25,0.0159,-0.022,61550,0.0717,161870,0.0679,2001,2,1.0559646539027983
2/12/2001,13,-25,0.0104,-0.024,56150,0.0655,161870,0.0634,2001,2,1.0331230283911672
2/13/2001,13,-25,0.0178,-0.016,94250,0.0731,161870,0.0731,2001,2,1
2/14/2001,13,-25,0.0115,-0.022,62700,0.071,161870,0,2001,2,
2/15/2001,13,-25,0.0053,-0.028,31200,0.0689,161870,0.0689,2001,2,1
2/7/2001,8,-16,0.0062,-0.028,59550,0.0557,161871,0.0557,2001,2,1
2/8/2001,8,-16,0.0079,-0.026,61300,0.0677,161871,0.0677,2001,2,1
2/9/2001,8,-16,0.0057,-0.026,45400,0.0535,161871,0.0535,2001,2,1
2/8/2001,8,-18,0.0051,-0.002,35350,0.0531,161898,0.0531,2001,2,1
2/9/2001,8,-18,0.005,-0.002,33200,0.0551,161898,0.0551,2001,2,1
2/10/2001,8,-18,0.0056,0,39350,0.0493,161898,0.0493,2001,2,1
2/11/2001,8,-18,0.0044,0,37750,0.0443,161898,0.0443,2001,2,1
2/12/2001,8,-18,0.0051,0.002,40300,0.0444,161898,0.0444,2001,2,1
2/8/2001,1,-36,0.0064,-0.062,31000,0.0452,161942,0.0452,2001,2,1
2/9/2001,1,-36,0.0084,-0.062,38050,0.0545,161942,0.0545,2001,2,1
2/10/2001,1,-36,0.0086,-0.062,32900,0.0556,161942,0.0556,2001,2,1
2/11/2001,1,-36,0.007,-0.064,29600,0.0592,161942,0.0592,2001,2,1
2/14/2001,15,-35,0.0128,-0.086,26500,0.1381,162314,0.1381,2001,2,1
2/15/2001,15,-35,0.0231,-0.07,32000,0.1482,162314,0.1482,2001,2,1
2/16/2001,15,-35,0.0221,-0.062,33000,0.1452,162314,0.1452,2001,2,1
2/17/2001,13,-24,0.0081,-0.018,40000,0.0541,162468,0.0541,2001,2,1
2/18/2001,13,-24,0.005,-0.02,36700,0.0543,162468,0.0543,2001,2,1
2/19/2001,13,-24,0.007,-0.018,40850,0.0536,162468,0.0536,2001,2,1
2/20/2001,13,-24,0.0086,-0.018,41100,0.0601,162468,0.0601,2001,2,1
2/21/2001,13,-24,0.0096,-0.018,44250,0.067,162468,0.067,2001,2,1
2/22/2001,13,-24,0.0122,-0.014,52200,0.069,162468,0.0656,2001,2,1.0518292682926829
2/23/2001,13,-24,0.0072,-0.014,43050,0.0564,162468,0.0551,2001,2,1.0235934664246824
2/24/2001,13,-24,0.0071,-0.016,46100,0.0511,162468,0.0511,2001,2,1
2/17/2001,16,-35,0.0165,-0.058,29550,0.1126,162488,0.1126,2001,2,1
2/18/2001,16,-35,0.0124,-0.056,32600,0.1062,162488,0.1062,2001,2,1
2/18/2001,14,-25,0.0041,-0.03,28600,0.0476,162529,0.0476,2001,2,1
2/19/2001,13,-25,0.0121,-0.024,58800,0.0548,162529,0.0541,2001,2,1.0129390018484288
2/20/2001,14,-25,0.0065,-0.028,32050,0.0522,162529,0.0522,2001,2,1
2/21/2001,14,-25,0.0077,-0.026,33900,0.0501,162529,0.0501,2001,2,1
2/22/2001,14,-25,0.0071,-0.025,34050,0.0494,162529,0,2001,2,
2/23/2001,14,-25,0.0066,-0.024,34200,0.0488,162529,0.0488,2001,2,1
2/21/2001,1,-37,0.0054,0.036,28200,0.0623,162668,0.0623,2001,2,1
2/22/2001,1,-37,0.0087,0.038,32750,0.0681,162668,0.0681,2001,2,1
2/23/2001,1,-37,0.0082,0.036,27400,0.0707,162668,0.0707,2001,2,1
2/24/2001,1,-37,0.0079,0.036,27450,0.0682,162668,0,2001,2,
2/25/2001,1,-37,0.0076,0.036,27550,0.0658,162668,0.0658,2001,2,1
2/23/2001,2,-40,0.0055,-0.054,43400,0.056,162819,0.056,2001,2,1
2/24/2001,2,-40,0.0062,-0.054,42250,0.0554,162819,0.0554,2001,2,1
2/25/2001,2,-40,0.0087,-0.053,47200,0.0584,162819,0,2001,2,
2/26/2001,2,-40,0.0113,-0.052,52150,0.0615,162819,0.0615,2001,2,1
2/27/2001,2,-40,0.0062,-0.056,32300,0.0589,162819,0.0589,2001,2,1
2/28/2001,2,-40,0.0049,-0.056,33300,0.0609,162819,0.0609,2001,2,1
2/27/2001,10,-15,0.0053,-0.004,31850,0.0841,163023,0.0841,2001,2,1
2/28/2001,10,-15,0.0044,-0.006,31200,0.0889,163023,0.0889,2001,2,1
2/27/2001,7,-31,0.0078,-0.028,31950,0.0582,163049,0.0582,2001,2,1
2/28/2001,7,-31,0.0126,-0.024,36950,0.0714,163049,0.0714,2001,2,1
3/1/2001,7,-31,0.011,-0.024,34050,0.07,163049,0.07,2001,3,1
3/2/2001,7,-31,0.0094,-0.022,33000,0.0665,163049,0.0665,2001,3,1
3/3/2001,13,-24,0.0043,-0.022,30900,0.0444,163287,0.0444,2001,3,1
3/4/2001,14,-24,0.0042,-0.022,35400,0.038,163287,0.038,2001,3,1
